Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Mitigation Finance ($ million),Adaptation Finance ($ million),Type of Financing,Currency,Project URL,,,,
11-Dec-23,56253-001,Climate-Resilient Inclusive Development Program (Subprogram 1),BAN,Bangladesh,South Asia,SARD,SAPF,Sovereign,,Policy-Based Support,Loan cofinancing,8465,Cofinancing (Partial administration),Asian Infrastructure Investment Bank,400,Public sector management,Public sector management,Dual-use,High,,,Investment,US$,https://www.adb.org/projects/56253-001/main,,,,https://www.adb.org/projects/56253-001/main
19-Dec-23,56253-003,"	Supporting the Climate-Resilient Inclusive Development Program",BAN,Bangladesh,South Asia,SG,SG-PSMG,Sovereign,1.5,TRTA,Technical assistance,10239,ADB funds,Technical Assistance Special Fund,1.5,Public sector management,Public sector management,Dual-use,High,0.2727,1.2273,Technical assistance,US$,https://www.adb.org/projects/56253-003/main,,,,https://www.adb.org/projects/56253-003/main
20-Jan-23,56272-001,Nhava Sheva Container Terminal Financing Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,187.1,Investment Support,Loan,4290,ADB funds,OCR,61.4,Transport,Transport,Mitigation,Medium,40,,Investment,US$,https://www.adb.org/projects/56272-001/main,,,,https://www.adb.org/projects/56272-001/main
20-Jan-23,56272-001,Nhava Sheva Container Terminal Financing Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,,Investment Support,Loan cofinancing,8437,Cofinancing (Full administration),Leading Asia's Private Infrastructure Fund,69.6,Transport,Transport,Mitigation,Medium,45.4,,Investment,US$,https://www.adb.org/projects/56272-001/main,,,,https://www.adb.org/projects/56272-001/main
22-Mar-23,56276-001,SAEL Biomass Energy Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,121.5,Investment Support,Loan,7761/4295,ADB funds,OCR,18.38008118,Energy,Energy,Dual-use,Medium,16.52553099,1.85455019,Investment,US$,https://www.adb.org/projects/56276-001/main,,,,https://www.adb.org/projects/56276-001/main
22-Mar-23,56276-001,SAEL Biomass Energy Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,,Investment Support,Loan,7762/4296,ADB funds,OCR,18.41400618,Energy,Energy,Dual-use,Medium,16.55603296,1.85797322,Investment,US$,https://www.adb.org/projects/56276-001/main,,,,https://www.adb.org/projects/56276-001/main
22-Mar-23,56276-001,SAEL Biomass Energy Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,,Investment Support,Loan,7763/4297,ADB funds,OCR,18.41400618,Energy,Energy,Dual-use,Medium,16.55603296,1.85797322,Investment,US$,https://www.adb.org/projects/56276-001/main,,,,https://www.adb.org/projects/56276-001/main
22-Mar-23,56276-001,SAEL Biomass Energy Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,,Investment Support,Loan,7764/4298,ADB funds,OCR,18.41400618,Energy,Energy,Dual-use,Medium,16.55603296,1.85797322,Investment,US$,https://www.adb.org/projects/56276-001/main,,,,https://www.adb.org/projects/56276-001/main
22-Mar-23,56276-001,SAEL Biomass Energy Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,,Investment Support,Loan,7765/4299,ADB funds,OCR,17.73792936,Energy,Energy,Dual-use,Medium,15.94817229,1.78975707,Investment,US$,https://www.adb.org/projects/56276-001/main,,,,https://www.adb.org/projects/56276-001/main
11-Dec-23,56285-001,Financial Sector Stability and Reforms Program (Subprogram 1),SRI,Sri Lanka,South Asia,SARD,SAPF,Sovereign,201,Policy-Based Support,Loan,4422,ADB funds,Concessional OCR,200,Finance,Finance,Dual-use,Low,8.34,5.32,Investment,US$,https://www.adb.org/projects/56285-001/main,,,,https://www.adb.org/projects/56285-001/main
20-Dec-23,56285-001,Supporting Financial Sector Stability and Reforms Program,SRI,Sri Lanka,South Asia,SG,SG-FIN,Sovereign,,TRTA,Technical assistance,10228,ADB funds,Technical Assistance Special Fund,1,Finance,Finance,Dual-use,Low,,,Technical assistance,US$,https://www.adb.org/projects/56285-001/main,,,,https://www.adb.org/projects/56285-001/main
28-Nov-23,56289-001,"Vaccines, Therapeutics, and Diagnostics Manufacturing and Regulatory Strengthening Project",BAN,Bangladesh,South Asia,SARD,,Sovereign,389.01,Investment Support,Loan,4387,ADB funds,OCR,168.22,Health,Health,Dual-use,Medium,25.33,5.77,Investment,US$,https://www.adb.org/projects/56289-001/main,,,,https://www.adb.org/projects/56289-001/main
28-Nov-23,56289-001,"Vaccines, Therapeutics, and Diagnostics Manufacturing and Regulatory Strengthening Project",BAN,Bangladesh,South Asia,SARD,,Sovereign,,Investment Support,Loan,4388,ADB funds,Concessional OCR,168.25,Health,Health,Dual-use,Medium,19.9,4.53,Investment,US$,https://www.adb.org/projects/56289-001/main,,,,https://www.adb.org/projects/56289-001/main
27-Oct-23,56293-001,Greenway Carbon Credits Gender Finance Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,38.1,Investment Support,Loan,4341,ADB funds,OCR,6.5,Energy,Energy,Mitigation,Low,6.5,,Investment,US$,https://www.adb.org/projects/56293-001/main,,,,https://www.adb.org/projects/56293-001/main
27-Oct-23,56293-001,Greenway Carbon Credits Gender Finance Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,,Investment Support,Grant cofinancing,0899,Cofinancing (Full administration),Climate Innovation and Development Fund,3.25,Energy,Energy,Mitigation,Low,3.25,,Investment,US$,https://www.adb.org/projects/56293-001/main,,,,https://www.adb.org/projects/56293-001/main
17-Apr-23,56339-001,Flood Reconstruction Emergency Assistance Project (FREAP),BAN,Bangladesh,South Asia,SARD,BRM,Sovereign,290.17,Investment Support,Loan,4305,ADB funds,Concessional OCR,230,"Agriculture, natural resources and rural development",Transport,Dual-use,High,10.76,,Investment,US$,https://www.adb.org/projects/56339-001/main,,,,https://www.adb.org/projects/56339-001/main
17-Apr-23,56339-001,Flood Reconstruction Emergency Assistance Project (FREAP),BAN,Bangladesh,South Asia,SARD,BRM,Sovereign,,Investment Support,Loan,4305,ADB funds,Concessional OCR,,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,2.642,134.81,Investment,US$,https://www.adb.org/projects/56339-001/main,,,,https://www.adb.org/projects/56339-001/main
11-Apr-23,56339-001,Flood Reconstruction Emergency Assistance Project (FREAP),BAN,Bangladesh,South Asia,SARD,BRM,Sovereign,,TRTA,Technical assistance,10097,ADB funds,Technical Assistance Special Fund,1,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,,,Technical assistance,US$,https://www.adb.org/projects/56339-001/main,,,,https://www.adb.org/projects/56339-001/main
23-Dec-23,56344-001,Paramount Solar Power Project,BAN,Bangladesh,South Asia,PSOD,PSIF1,Nonsovereign,174,Investment Support,Loan,4394,ADB funds,OCR,50,Energy,Energy,Mitigation,High,50,,Investment,US$,https://www.adb.org/projects/56344-001/main,,,,https://www.adb.org/projects/56344-001/main
26-Dec-23,56344-001,Paramount Solar Power Project,BAN,Bangladesh,South Asia,PSOD,PSIF1,Nonsovereign,,Investment Support,Loan cofinancing,CF116,Commercial,B-loan,30,Energy,Energy,Mitigation,High,30,,Investment,US$,https://www.adb.org/projects/56344-001/main,,,,https://www.adb.org/projects/56344-001/main
05-Dec-23,56364-001,Enhancing Connectivity and Resilience of the Madhya Pradesh Road Network Project,IND,India,South Asia,SARD,SATC,Sovereign,327.85,Investment Support,Loan,4361,ADB funds,OCR,175,Transport,Transport,Dual-use,High,11.39,26.57,Investment,US$,https://www.adb.org/projects/56364-001/main,,,,https://www.adb.org/projects/56364-001/main
06-Dec-23,57003-001,Artificial Intelligence-Powered Microgrids to Enable Futuristic and Reliable Distributed Renewable Energy System,SRI,Sri Lanka,South Asia,SG,SG-ENE,Sovereign,1,KSTA,Technical assistance cofinancing,10193,Cofinancing (Full administration),Clean Energy Financing Partnership Facility (Clean Energy Fund),1,Energy,Energy,Dual-use,Low,0.5,0.025,Technical assistance,US$,https://www.adb.org/projects/57003-001/main,,,,https://www.adb.org/projects/57003-001/main
28-Dec-23,57027-001,Decarbonizing Transport in India by Increasing Modal Share of Railways in Passenger and Freight Traffic,IND,India,South Asia,SG,SG-TRA,Sovereign,1,KSTA,Technical assistance,10219,ADB funds,Technical Assistance Special Fund,1,Transport,Transport,Mitigation,High,1,,Technical assistance,US$,https://www.adb.org/projects/57027-001/main,,,,https://www.adb.org/projects/57027-001/main
29-May-23,57035-001,Economic Stabilization Program,SRI,Sri Lanka,South Asia,SARD,SAPF,Sovereign,350,Policy-Based Support,Loan,4315,ADB funds,OCR,350,Public sector management,Public sector management,Adaptation,Medium,,13.62,Investment,US$,https://www.adb.org/projects/57035-001/main,,,,https://www.adb.org/projects/57035-001/main
31-Oct-23,57035-002,Strengthening Public Management and Governance,SRI,Sri Lanka,South Asia,SG,SG-PSMG,Sovereign,1.5,KSTA,Technical assistance,10141,ADB funds,Technical Assistance Special Fund,1.5,Public sector management,Public sector management,Dual-use,Low,0.0324,0.03696,Technical assistance,US$,https://www.adb.org/projects/57035-002/main,,,,https://www.adb.org/projects/57035-002/main
31-Oct-23,57059-001,Building Adaptation and Resilience in the Hindu Kush Himalayas―Bhutan and Nepal,BHU; NEP; REG,Regional (South Asia),South Asia,CCSD,CCRE,Sovereign,1.7,KSTA,Technical assistance,10172,ADB funds,Technical Assistance Special Fund,1.7,Finance,Public sector management,Adaptation,Low,,0.85,Technical assistance,US$,https://www.adb.org/projects/57059-001/main,,,,https://www.adb.org/projects/57059-001/main
31-Oct-23,57059-001,Building Adaptation and Resilience in the Hindu Kush Himalayas―Bhutan and Nepal,BHU; NEP; REG,Regional (South Asia),South Asia,CCSD,CCRE,Sovereign,,KSTA,Technical assistance,10172,ADB funds,Technical Assistance Special Fund,,Finance,Finance,Adaptation,Low,,0.85,Technical assistance,US$,https://www.adb.org/projects/57059-001/main,,,,https://www.adb.org/projects/57059-001/main
20-Oct-23,57116-001,Promoting Energy Transition through Regional Cooperation and Integration in South Asia,BAN; BHU; IND; MLD; NEP; SRI; REG,Regional (South Asia),South Asia,SG,SG-ENE,Sovereign,3.7,KSTA,Technical assistance cofinancing,10162,Cofinancing (Full administration),Clean Energy Financing Partnership Facility (Clean Energy Fund),3,Energy,Energy,Mitigation,Low,3,,Technical assistance,US$,https://www.adb.org/projects/57116-001/main,,,,https://www.adb.org/projects/57116-001/main
08-Dec-23,57116-001,Promoting Energy Transition through Regional Cooperation and Integration in South Asia,BAN; BHU; IND; MLD; NEP; SRI; REG,Regional (South Asia),South Asia,SG,SG-ENE,Sovereign,,KSTA,Technical assistance,10162,ADB funds,Technical Assistance Special Fund,0.7,Energy,Energy,Mitigation,Low,0.7,,Technical assistance,US$,https://www.adb.org/projects/57116-001/main,,,,https://www.adb.org/projects/57116-001/main
14-Dec-23,57190-001,Enhancing Preparedness Through OneADB for Transport Projects in South Asia,BAN; BHU; IND; MLD; NEP; SRI; REG ,Regional (South Asia),South Asia,SG,SG-TRA,Sovereign,2.110489,TRTA,Technical assistance,10245,ADB funds,Technical Assistance Special Fund,2.110489,Transport,Transport,Mitigation,Low,0.379489,,Technical assistance,US$,https://www.adb.org/projects/57190-001/main,,,,https://www.adb.org/projects/57190-001/main
22-Dec-23,57191-001,SAEL Gujarat Solar Power Project,IND,India,South Asia,PSOD,PSIF1,Nonsovereign,303.373,Investment Support,Loan,4400,ADB funds,OCR,147.124998,Energy,Energy,Mitigation,High,147.124998,,Investment,US$,https://www.adb.org/projects/57191-001/main,,,,https://www.adb.org/projects/57191-001/main
09-Oct-23,57203-001,Preparing the Nagaland Hydro Power Development Project,IND,India,South Asia,SARD,SG-ENE,Sovereign,0.225,TRTA,Technical assistance,10160,ADB funds,Technical Assistance Special Fund,0.225,Energy,Energy,Dual-use,Low,0.1125,0.1125,Technical assistance,US$,https://www.adb.org/projects/57203-001/main,,,,https://www.adb.org/projects/57203-001/main
12-Dec-23,57208-001,Project Preparatory and Capacity Building for Renewable Energy Projects,MLD,Maldives,South Asia,SG,SG-ENE,Sovereign,1,TRTA,Technical assistance,10199,ADB funds,Technical Assistance Special Fund,1,Energy,Energy,Dual-use,Low,0.8,0.2,Technical assistance,US$,https://www.adb.org/projects/57208-001/main,,,,https://www.adb.org/projects/57208-001/main
27-Dec-23,57241-001,"UGRO Capital Supporting Digital and Innovative Micro, Small, and Medium-Sized Enterprises Financing Project",IND,India,South Asia,PSOD,PSFI,Nonsovereign,30,Investment Support,Loan,7818,ADB funds,OCR,30,Finance,Finance,Mitigation,Medium,7.5,,Investment,US$,https://www.adb.org/projects/57241-001/main,,,,https://www.adb.org/projects/57241-001/main
13-Dec-23,57281-001,Administration of Equity Investment in Revfin Services Private Limited,IND,India,South Asia,PSOD,OPSD,Nonsovereign,4,Investment Support,Equity Cofinancing,8466,Cofinancing (Full administration),ADB Ventures Investment Fund 1,2.40267,Finance,Finance,Mitigation,Low,2.40267,,Investment,US$,https://www.adb.org/projects/57281-001/main,,,,https://www.adb.org/projects/57281-001/main
20-Dec-23,57333-001,Supporting Coastal Climate Resilience in Karnataka and Kerala States,IND,India,South Asia,SG,SG-AFNR,Sovereign,0.225,KSTA,Technical assistance,10260,ADB funds,Technical Assistance Special Fund,0.225,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.225,Technical assistance,US$,https://www.adb.org/projects/57333-001/main,,,,https://www.adb.org/projects/57333-001/main
21-Dec-23,57334-001,Supporting West Bengal State for Climate Resilience,IND,India,South Asia,SG,SG-AFNR,Sovereign,0.225,KSTA,Technical assistance,10273,ADB funds,Technical Assistance Special Fund,0.225,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,0.225,Technical assistance,US$,https://www.adb.org/projects/57334-001/main,,,,https://www.adb.org/projects/57334-001/main
04-May-23,CCFADC00064,Hindu Kush Himalaya Climate Risk Management,BHU; NEP,Regional (South Asia),South Asia,SARD,NRM; BHRM,Sovereign,0.225,Direct charge,Other,CCFADC00064,ADB funds,Climate Change Fund,0.225,Multisector,Multisector,Adaptation,,,0.225,Direct Charge,US$,,,,,
01-Jul-23,45296-006,Davao Public Transport Modernization Project,PHI,Philippines,Southeast Asia,SERD,SETC,Sovereign,"1,711.78",Investment Support,Loan,4324,ADB funds,OCR,"1,014.69",Transport,Transport,Dual-use,Medium,"1,013.27",1.42,Investment,US$,https://www.adb.org/projects/45296-006/main,,,,
01-Jul-23,45296-006,Davao Public Transport Modernization Project,PHI,Philippines,Southeast Asia,SERD,SETC,Sovereign,,Investment Support,Loan cofinancing,8449,Cofinancing (Full administration),Green Climate Fund,50,Transport,Transport,Dual-use,Medium,50,,Investment,US$,https://www.adb.org/projects/45296-006/main,,,,
01-Jul-23,45296-006,Davao Public Transport Modernization Project,PHI,Philippines,Southeast Asia,SERD,SETC,Sovereign,,Investment Support,Loan cofinancing,8450,Cofinancing (Full administration),ASEAN Infrastructure Fund,10,Transport,Transport,Dual-use,Medium,10,,Investment,US$,https://www.adb.org/projects/45296-006/main,,,,
20-Oct-23,45296-006,Davao Public Transport Modernization Project,PHI,Philippines,Southeast Asia,SERD,SETC,Sovereign,,TRTA,Technical assistance,10120,ADB funds,Technical Assistance Special Fund,0.5,Transport,Transport,Mitigation,Medium,0.5,,Technical assistance,US$,https://www.adb.org/projects/45296-006/main,,,,
20-Oct-23,45296-006,Davao Public Transport Modernization Project,PHI,Philippines,Southeast Asia,SERD,SETC,Sovereign,,TRTA,Technical assistance cofinancing,10120,Cofinancing (Full administration),Green Climate Fund,0.5,Transport,Transport,Mitigation,Medium,0.5,,Technical assistance,US$,https://www.adb.org/projects/45296-006/main,,,,
21-Jun-23,47136-005,Supporting Education and Health Sector Programs Facility,CAM; LAO,Regional,Southeast Asia,SG,SG-HSD,Sovereign,0.75,TRTA,Technical assistance cofinancing,9397,Cofinancing (Full administration),Cooperation Fund for Project Preparation in the Greater Mekong Subregion and in Other Specific Asian Countries,0.75,Education,Education,Adaptation,Low,,0.066,Technical assistance,US$,https://www.adb.org/projects/47136-005/main,,,,
19-Dec-23,49041-004,"Strengthening Public Financial Management Program, Subprogram 2",CAM,Cambodia,Southeast Asia,SERD,CARM,Sovereign,50,Policy-Based Support,Loan,4391,ADB funds,Concessional OCR,50,Public sector management,Public sector management,Dual-use,Low,6.45,1.23,Investment,US$,https://www.adb.org/projects/49041-004/main,,,,
12-Dec-23,50236-003,Sustainable Rural Infrastructure and Watershed Management Sector Project - Additional Financing,LAO,Lao People's Democratic Republic,Southeast Asia,SERD,SEER,Sovereign,14,Investment Support,Grant cofinancing,0912,Cofinancing (Full administration),Global Agriculture and Food Security Program,10,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,4,2.5,Investment,US$,https://www.adb.org/projects/50236-003/main,,,,
15-Dec-23,50288-006,"Infrastructure Preparation and Innovation Facility, Second Additional Financing",PHI,Philippines,Southeast Asia,SERD,"SETC, SEER",Sovereign,264.04,Investment Support,Loan,4424,ADB funds,OCR,200,Transport,Transport,Dual-use,Low,57.9,51.3,Investment,US$,https://www.adb.org/projects/50288-006/main,,,,
22-Dec-23,50288-006,"Promoting Climate-Smart Infrastructure [Attached TA to Infrastructure Preparation and Innovation Facility, Second Additional Financing]",PHI,Philippines,Southeast Asia,SG,SG-TRA,Sovereign,,TRTA,Technical assistance,10229,ADB funds,Technical Assistance Special Fund,0.5,Transport,Transport,Dual-use,Low,0.15,0.35,Technical assistance,US$,https://www.adb.org/projects/50288-006/main,,,,
22-Dec-23,50288-006,"Promoting Climate-Smart Infrastructure [Attached TA to Infrastructure Preparation and Innovation Facility, Second Additional Financing]",PHI,Philippines,Southeast Asia,SG,SG-TRA,Sovereign,,TRTA,Technical assistance cofinancing,10229,Cofinancing (Full administration),Green Climate Fund,1,Transport,Transport,Dual-use,Low,0.3,0.7,Technical assistance,US$,https://www.adb.org/projects/50288-006/main,,,,
14-Dec-23,51157-001,Flood Management in North Java Project,INO,Indonesia,Southeast Asia,SERD,SEER; IRM,Sovereign,320.924,Investment Support,Loan,4410,ADB funds,OCR,246.683,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,,240,Investment,US$,https://www.adb.org/projects/51157-001/main,,,,
14-Dec-23,51157-001,Flood Management in North Java Project,INO,Indonesia,Southeast Asia,SERD,SEER; IRM,Sovereign,,Investment Support,Loan cofinancing,8463,Cofinancing (Full administration),United Kingdom-ASEAN Catalytic Green Finance Facility Trust Fund,10,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Medium,,10,Investment,US$,https://www.adb.org/projects/51157-001/main,,,,
21-Sep-23,51294-001,Integrated Flood Resilience and Adaptation Project - Phase 1,PHI,Philippines,Southeast Asia,SERD,SEER,Sovereign,408.76,Investment Support,Loan,4345,ADB funds,OCR,303.24,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,,303.24,Investment,US$,https://www.adb.org/projects/51294-001/main,,,,
21-Sep-23,51294-001,Integrated Flood Resilience and Adaptation Project - Phase 1,PHI,Philippines,Southeast Asia,SERD,SEER,Sovereign,,Investment Support,Grant cofinancing,0905,Cofinancing (Full administration),High Level Technology Fund,0.68,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,,0.68,Investment,US$,https://www.adb.org/projects/51294-001/main,,,,
03-Nov-23,51309-003,Inclusive Finance Development Program Subprogram 3,PHI,Philippines,Southeast Asia,SERD,SEPF,Sovereign,600,Policy-Based Support,Loan,4355,ADB funds,OCR,300,Finance,Finance,Dual-use,Low,30.72,62.93,Investment,US$,https://www.adb.org/projects/51309-003/main,,,,
26-Sep-23,52145-002,"Second Decentralized Public Service and Financial Management Sector Development Program, Subprogram 2",CAM,Cambodia,Southeast Asia,SERD,SEPF,Sovereign,40,Policy-Based Support,Loan,4330,ADB funds,Concessional OCR,40,Public sector management,Public sector management,Dual-use,Low,4.17,5,Investment,US$,https://www.adb.org/projects/52145-002/main,,,,
26-Jul-23,52152-011,Support to the Preparation of Citywide Inclusive Sanitation Project (Subproject 9),INO,Indonesia,Southeast Asia,SG,SG-WUD,Sovereign,0.5,TRTA,Technical assistance cofinancing,10133,Cofinancing (Full administration),Australia,0.5,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,0.03,0.058,Technical assistance,US$,https://www.adb.org/projects/52152-011/main,,,,
17-Jul-23,52282-002,Geothermal Power Generation Project (Additional Financing),INO,Indonesia,Southeast Asia,SERD,SEEN,Sovereign,10,Investment Support,Grant cofinancing,0895,Cofinancing (Full administration),Japan Fund for the Joint Crediting Mechanism,10,Energy,Energy,Mitigation,Low,10,,Investment,US$,https://www.adb.org/projects/52282-002/main,,,,
15-Dec-23,52310-002,"Bataan–Cavite Interlink Bridge Project, Tranche 1",PHI,Philippines,Southeast Asia,SERD,,Sovereign,"1,310.78",Investment Support,Loan,4432,ADB funds,OCR,650,Transport,Transport,Adaptation,Low,,27,Investment,US$,https://www.adb.org/projects/52310-002/main,,,,
15-Dec-23,52310-002,"Bataan–Cavite Interlink Bridge Project, Tranche 1",PHI,Philippines,Southeast Asia,SERD,,Sovereign,,Investment Support,Loan cofinancing,8469,Cofinancing (Partial administration),Asian Infrastructure Investment Bank,350,Transport,Transport,Adaptation,Low,,13,Investment,US$,https://www.adb.org/projects/52310-002/main,,,,
06-Oct-23,53211-002,"Competitiveness, Industrial Modernization and Trade Acceleration Subprogram 2",INO,Indonesia,Southeast Asia,SERD,SEPF,Sovereign,"1,000.00",Policy-Based Support,Loan,4350,ADB funds,OCR,482.251,Public sector management,Public sector management,Dual-use,Low,75.625,10,Investment,US$,https://www.adb.org/projects/53211-002/main,,,,
06-Oct-23,53211-002,"Competitiveness, Industrial Modernization and Trade Acceleration Subprogram 2",INO,Indonesia,Southeast Asia,SERD,SEPF,Sovereign,,Policy-Based Support,Loan,4350,ADB funds,OCR,,Public sector management,Industry and trade,Dual-use,Low,75.625,10,Investment,US$,https://www.adb.org/projects/53211-002/main,,,,
20-Oct-23,53291-001,Improving the Quality of Health Care Project,LAO,Lao People's Democratic Republic,Southeast Asia,SERD,SEHS,Sovereign,45,Investment Support,Loan,4337,ADB funds,Concessional OCR,45,Health,Health,Dual-use,Medium,1.5,2.3,Investment,US$,https://www.adb.org/projects/53291-001/main,,,,
06-Feb-23,53353-002,Competitive and Inclusive Agriculture Development Program (Subprogram 2),PHI,Philippines,Southeast Asia,SERD,SEER; PHCO,Sovereign,500,Policy-Based Support,Loan,4288,ADB funds,OCR,500,"Agriculture, natural resources and rural development",Public sector management,Dual-use,Low,,5.655,Investment,US$,https://www.adb.org/projects/53353-002/main,,,,
06-Feb-23,53353-002,Competitive and Inclusive Agriculture Development Program (Subprogram 2),PHI,Philippines,Southeast Asia,SERD,SEER; PHCO,Sovereign,,Policy-Based Support,Loan,4288,ADB funds,OCR,,"Agriculture, natural resources and rural development",Finance,Dual-use,Low,,5.655,Investment,US$,https://www.adb.org/projects/53353-002/main,,,,
06-Feb-23,53353-002,Competitive and Inclusive Agriculture Development Program (Subprogram 2),PHI,Philippines,Southeast Asia,SERD,SEER; PHCO,Sovereign,,Policy-Based Support,Loan,4288,ADB funds,OCR,,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,32.7,67.3,Investment,US$,https://www.adb.org/projects/53353-002/main,,,,
23-Jun-23,53390-001,Greater Mekong Subregion Climate Change and Environmental Sustainability Program,CAM; LAO; MYA; PRC; THA; VIE; REG,Regional (Southeast Asia),Southeast Asia,SG,SG-AFNR,Sovereign,0.5,KSTA,Technical assistance cofinancing,9915,Cofinancing (Full administration),People's Republic of China Poverty Reduction and Regional Cooperation Fund,0.5,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,0.25,0.25,Technical assistance,US$,https://www.adb.org/projects/53390-001/main,,,,
22-Nov-23,54224-001,Supporting Essential Health Actions and Transformation Program,INO,Indonesia,Southeast Asia,SERD,SEHS,Sovereign,"1,923.00",Results Based Lending,Loan,4381,ADB funds,OCR,361.561,Health,Health,Dual-use,Low,48.851,12.25,Investment,US$,https://www.adb.org/projects/54224-001/main,,,,
29-Dec-23,54224-002,Primary Healthcare and Public Health Laboratories Upgrading and Strengthening Project,INO,Indonesia,Southeast Asia,SERD,SEHS,Sovereign,"2,404.96",Investment Support,Loan,4430,ADB funds,OCR,658.089,Health,Health,Dual-use,Medium,272.2,65.02,Investment,US$,https://www.adb.org/projects/54224-002/main,,,,
20-Oct-23,54256-001,Horticulture Development in Dryland Areas Sector Project,INO,Indonesia,Southeast Asia,SERD,SEER,Sovereign,139.754,Investment Support,Loan,4338,ADB funds,OCR,83.015,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,,29.165,Investment,US$,https://www.adb.org/projects/54256-001/main,,,,
20-Oct-23,54256-001,Horticulture Development in Dryland Areas Sector Project,INO,Indonesia,Southeast Asia,SERD,SEER,Sovereign,,Investment Support,Loan cofinancing,8453,Cofinancing (Partial administration),International Fund for Agricultural Development,40,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,,13.725,Investment,US$,https://www.adb.org/projects/54256-001/main,,,,
29-Nov-23,54328-001,Unlocking the Potential for Climate Change- and Disaster-Resilient Multisector Provincial Projects,VIE,Viet Nam,Southeast Asia,SERD,VRM,Sovereign,1,TRTA,Technical assistance,6843,ADB funds,Technical Assistance Special Fund,1,Transport,Water and other urban infrastructure and services,Adaptation,High,,0.735,Technical assistance,US$,https://www.adb.org/projects/54328-001/main,,,,
29-Nov-23,54328-001,Unlocking the Potential for Climate Change- and Disaster-Resilient Multisector Provincial Projects,VIE,Viet Nam,Southeast Asia,SERD,VRM,Sovereign,,TRTA,Technical assistance,6843,ADB funds,Technical Assistance Special Fund,,Transport,"Agriculture, natural resources and rural development",Adaptation,High,,0.265,Technical assistance,US$,https://www.adb.org/projects/54328-001/main,,,,
14-Dec-23,54461-002,"Boosting Productivity Through Human Capital Development Program, Subprogram 2",INO,Indonesia,Southeast Asia,SERD,SEPF; SEHS,Sovereign,"1,000.00",Policy-Based Support,Loan,4377,ADB funds,OCR,512.657,Public sector management,Public sector management,Dual-use,Low,99.98,16.66,Investment,US$,https://www.adb.org/projects/54461-002/main,,,,
14-Dec-23,54461-002,"Boosting Productivity Through Human Capital Development Program, Subprogram 2",INO,Indonesia,Southeast Asia,SERD,SEPF; SEHS,Sovereign,,Policy-Based Support,Loan cofinancing,8459,Cofinancing (Partial administration),Asian Infrastructure Investment Bank,500,Public sector management,Public sector management,Dual-use,Low,,,Investment,US$,https://www.adb.org/projects/54461-002/main,,,,
22-Dec-23,55105-003,Build Universal Health Care Program (Subprogram 2),PHI,Philippines,Southeast Asia,SERD,SEHS,Sovereign,900,Policy-Based Support,Loan,4414,ADB funds,OCR,463.116,Health,Health,Dual-use,Low,39.8,25.79,Investment,US$,https://www.adb.org/projects/55105-003/main,,,,
22-Dec-23,55105-003,Build Universal Health Care Program (Subprogram 2),PHI,Philippines,Southeast Asia,SERD,SEHS,Sovereign,,Policy-Based Support,Loan cofinancing,8464,Cofinancing (Partial administration),Asian Infrastructure Investment Bank,450,Health,Health,Dual-use,Low,,,Investment,US$,https://www.adb.org/projects/55105-003/main,,,,
